rf_n_estimators,rf_max_depth,rf_min_samples_leaf,ml_target_exposure,hmm_n_states,ml_threshold_used,train_avg_exposure,test_avg_exposure,train_total_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,test_total_return,test_annualized_return,test_annualized_volatility,test_sharpe_ratio,test_max_drawdown
400,8,40,0.2,2,0.38660756572156063,0.20000000000039578,0.1753186200342144,0.0866985406894194,0.008335798129234684,0.0037112319429846966,2.246100016732114,-0.003517668048287535,0.03319653813790935,0.004066268975035481,0.00340071723755012,1.195709225729342,-0.0050172900935358065
200,4,40,0.2,2,0.38583543245235896,0.19999999999961432,0.17688989634771807,0.08334774784962518,0.008024942779434774,0.003500775418432992,2.292332932064199,-0.0034514658555921335,0.031964614921889956,0.003917427996741996,0.003280210390468077,1.194261199868643,-0.004811565868766232
400,4,40,0.2,4,0.38865691389947654,0.2000000000002382,0.17464756610400103,0.07650053515387767,0.0073870215781628445,0.0029172902584489197,2.5321517311377906,-0.0033687800537543057,0.031285861452527985,0.0038353544974571996,0.0032138829428361563,1.1933709365508542,-0.004975165074873915
400,8,20,0.1,2,0.464079437014816,0.09999999999973652,0.0793437698628746,0.04765964542250778,0.0046593191930373035,0.0024459334281929034,1.9049247781366179,-0.0022970256991106633,0.01718592668298613,0.002119629645240151,0.0017763369397650255,1.1932587775383066,-0.0023572292592924557
200,4,80,0.1,3,0.4584428011110413,0.10000000000001959,0.07813532037329672,0.04113684979305776,0.004033046237092108,0.0016286616791284332,2.476294671125537,-0.0017990833003658782,0.016435241733593342,0.0020277012012861473,0.0017008895910467453,1.1921415781245852,-0.0024397170839991853
400,4,40,0.15,3,0.4262729523179677,0.15000000000050773,0.1280439864390367,0.05867768098345327,0.005709265394535867,0.002278603571506743,2.505598369952775,-0.002628859196843165,0.023632745307387015,0.002906666587700224,0.0024397476355311845,1.191380020363205,-0.0037071102342083884
400,4,20,0.15,2,0.4235894127208757,0.15000000000029676,0.12928933851501162,0.0632921635351289,0.006146075239981785,0.0027615089022287073,2.225622099215949,-0.002884048532090968,0.024089669202002284,0.0029622836363085714,0.0024880883051862724,1.1905862143774668,-0.003750894636915552
400,6,80,0.1,3,0.459356613154023,0.09999999999993332,0.07682238610747043,0.04122799186838533,0.004041821359471509,0.0016389912286722925,2.4660420926997224,-0.0017082458106171144,0.01631334427882769,0.002012768098722084,0.0016906852723369231,1.1905043071322003,-0.0023625808502380123
200,8,40,0.1,2,0.4620255873260338,0.10000000000005474,0.07859246594120753,0.045244384491195166,0.004427833102884415,0.0021091809418109864,2.0993140110030515,-0.0022490547402192673,0.018167239371972732,0.0022397110735712378,0.0018892223973561682,1.185520072547072,-0.002435037533524302
400,4,20,0.2,2,0.3858728704041551,0.19999999999996854,0.17795550433330373,0.08382431370451693,0.008069206868995149,0.0035501741503024447,2.272904518869228,-0.003482193713484646,0.03146991524543741,0.0038576145840272247,0.0032562720238713725,1.1846720899689818,-0.004915907102059029
200,6,40,0.15,4,0.42682467844441807,0.14999999999951652,0.1248136727829858,0.05661274248824677,0.005513241702546523,0.0022432577266084763,2.4576942886013597,-0.002581573693370446,0.02342085970370711,0.002880868366965661,0.0024403353231209715,1.1805215208216906,-0.00370715562079024
400,4,20,0.2,3,0.38894472823044435,0.20000000000052207,0.17849090281280475,0.07897637731444185,0.007618104107891321,0.00293320748235114,2.5971923751486403,-0.003336668318751645,0.03071820326617769,0.003766678082526731,0.003193943335236224,1.1793190070005257,-0.004718094374438193
400,8,40,0.1,2,0.4617346562322837,0.09999999999943733,0.07934419281802098,0.0454968937948923,0.004452056901878221,0.0021205257377056278,2.0995061850535564,-0.002246486444266537,0.017773043127529142,0.002191486189076608,0.0018585004824051082,1.1791690181541299,-0.002466196074813079
400,4,80,0.15,4,0.423046093828807,0.15000000000047978,0.1237310440947263,0.06181302091273544,0.006006244796745719,0.0023343178603997734,2.5730192527066964,-0.0024242065326478355,0.02415145164228294,0.0029698021638093763,0.0025197657300033475,1.178602490083644,-0.0036642216460749566
200,8,20,0.15,4,0.429639743263442,0.15000000000057287,0.12417770531366418,0.057325882714782894,0.005580978737902198,0.0023905280817279368,2.3346217016066673,-0.0027629311630742713,0.023546314490489273,0.002896143732047829,0.002457923657389506,1.1782887248515053,-0.003893328435571836
200,6,20,0.2,4,0.3892898764125402,0.19999999999969606,0.17459381145594022,0.07940926232013412,0.007658458364395049,0.003003871808579458,2.549529025347044,-0.00343044205674402,0.030199061667072424,0.003703842297008375,0.003144048737140629,1.1780486266815486,-0.004746454309915618
400,8,80,0.1,3,0.46009647347939775,0.09999999999976315,0.07634264952320956,0.04118131136500636,0.004037327065749441,0.0016462536971250644,2.452433104812477,-0.0016717683763025361,0.016366752179438837,0.002019311050680095,0.0017146038707749759,1.177712872984123,-0.002343308473765671
400,6,20,0.2,4,0.3894237475246609,0.19999999999962673,0.17569822318190856,0.07861713880026255,0.0075846042322009755,0.002941736864572996,2.5782741901702715,-0.003312013364257582,0.030091903037110956,0.00369086859374268,0.003133942594805075,1.1777077856693303,-0.0046706735746330635
200,6,80,0.1,3,0.4596635474509003,0.10000000000055687,0.0763873335379963,0.04137020156587101,0.004055511871007278,0.0016533273906797867,2.452939383856577,-0.0017293285397848147,0.01613226057778916,0.001990581462365304,0.0016921288250147206,1.1763770186634501,-0.002291606203052584
400,4,20,0.1,2,0.4574748525474296,0.10000000000044963,0.08122221860060815,0.0430120615817593,0.004213451790922473,0.0019859857750954375,2.121592130094685,-0.002275464664263832,0.01660252222661107,0.0020481914206995633,0.0017424123731101995,1.1754917792758492,-0.002565340727540255
400,6,40,0.15,3,0.42669974867573723,0.1499999999994996,0.12623078118330722,0.0595645537807048,0.005793350200840264,0.0023215829954918795,2.495431010689675,-0.0026251401758012123,0.023662239558613463,0.002910257301857788,0.002475858451184287,1.1754538311613547,-0.003693197237754062
400,6,40,0.15,4,0.4269065777416563,0.15000000000046826,0.1256367076035977,0.05646133473426729,0.0054988550661074775,0.0022443990499614575,2.4500344830398624,-0.0025768028350439524,0.02282439327008645,0.0028082202205803597,0.002390361506713228,1.1748098405590925,-0.003832200529894047
200,6,40,0.2,4,0.3887127721027993,0.19999999999979823,0.17306364933179347,0.0764966208710871,0.0073866558602766474,0.0028869779267594667,2.558611824430509,-0.0032077953110523894,0.030807794326126237,0.0037775191878688386,0.0032236866524411045,1.1718009828927851,-0.004892646206618231
200,4,80,0.15,4,0.4229622829973868,0.15000000000010086,0.12344605836902142,0.0622883668654759,0.00605120063822473,0.0023821694477525563,2.5402057959956204,-0.002470244494235077,0.02416052350785103,0.0029709061183345042,0.002539368274222557,1.1699390547218147,-0.0037739541836625022
200,4,20,0.2,2,0.3857693680852481,0.20000000000005988,0.17757435477295724,0.0837701366910244,0.008064175716496758,0.0035776111289077418,2.2540671487006416,-0.0035167498932180837,0.031106857648023567,0.003813701836041572,0.003260027380724042,1.1698373635115176,-0.005009259267113707
200,4,20,0.15,2,0.4234950214783658,0.15000000000016792,0.12873516630554224,0.06308236544264134,0.006126252680925148,0.0027902278225896394,2.1956102047750745,-0.002920833266347646,0.023691735136147418,0.0029138480868773353,0.0024929755764075603,1.1688233589020005,-0.0038503523757866037
200,4,40,0.2,3,0.388292922477549,0.2000000000002285,0.17578124467824896,0.07845743264003069,0.007569708014584231,0.0029497483643414145,2.5662216160849733,-0.0032941510759207752,0.030629943082616906,0.003755997214988982,0.003213882233766018,1.168679167994191,-0.004875851303148426
400,6,40,0.1,3,0.46226278609697136,0.10000000000019692,0.07870298420150275,0.03931457551004214,0.0038574531189952133,0.0016422276664999594,2.348914951126424,-0.0019634400524797656,0.01580065650983653,0.0019499438759849053,0.0016689769025429332,1.1683468315312677,-0.002434206853876369
400,4,40,0.2,3,0.38836420844602804,0.19999999999961807,0.17623076555088954,0.0790530012957007,0.007625248183601219,0.0029628809094143734,2.573592532650387,-0.0032484577033970066,0.03079321684529046,0.003775755273371262,0.003234228445074394,1.1674361714063806,-0.004885626534284731
